날짜,외국인
2020-07-21,448346910408
2020-07-22,-309944496
2020-07-23,-200769676924
2020-07-24,84137598343
2020-07-27,167665741165
2020-07-28,1311287805958
2020-07-29,297991696347
2020-07-30,222800182948
2020-07-31,-54762683511
2020-08-03,-271914698650
2020-08-04,-61519372990
2020-08-05,-45639756176
2020-08-06,168457075615
2020-08-07,-72993744536
2020-08-10,-132983928649
2020-08-11,151214573526
2020-08-12,-154963706228
2020-08-13,-347592189841
2020-08-14,-464111659505
2020-08-18,74531182333
2020-08-19,-266234080840
2020-08-20,-280518503054
2020-08-21,198201893794
2020-08-24,199245828552
2020-08-25,157154854463
2020-08-26,189602866934
2020-08-27,-25698232160
2020-08-28,-224962279704
2020-08-31,-1636163299557
2020-09-01,-208372323255
2020-09-02,-254087096961
2020-09-03,192140942149
2020-09-04,-471480341520
2020-09-07,-251297079199
2020-09-08,-33685693968
2020-09-09,-113636147130
2020-09-10,382077896578
2020-09-11,-151286804016
2020-09-14,143904569546
2020-09-15,250383389827
2020-09-16,175094646714
2020-09-17,-125557327397
2020-09-18,145251234341
2020-09-21,-73717097225
2020-09-22,-17141320012
2020-09-23,-55931247869
2020-09-24,-191458260368
2020-09-25,-89862537014
2020-09-28,-57967699386
2020-09-29,-71155564489
2020-10-05,174320313846
2020-10-06,170135050205
2020-10-07,-97517415660
2020-10-08,761011343095
2020-10-12,139643674021
2020-10-13,212661660604
2020-10-14,-36707922210
2020-10-15,-16182722381
2020-10-16,-171313182293
2020-10-19,37728662632
2020-10-20,43115725959
2020-10-21,-23850867915
2020-10-22,-73842372675
2020-10-23,38579255114
2020-10-26,-145400684143
2020-10-27,105905256579
2020-10-28,9251240077
2020-10-29,-538591822911
2020-10-30,-982479734674
2020-11-02,49242508667
2020-11-03,217660039164
2020-11-04,-217393216845
2020-11-05,1141100580178
2020-11-06,795032402964
2020-11-09,333664346205
2020-11-10,160193472831
2020-11-11,837700796840
2020-11-12,489803484683
2020-11-13,526261132587
2020-11-16,465533355615
2020-11-17,351503899296
2020-11-18,66667719893
2020-11-19,105643693814
2020-11-20,103750433049
2020-11-23,988846722819
2020-11-24,726916687859
2020-11-25,-41938422915
2020-11-26,251667115177
2020-11-27,79724991024
2020-11-30,-2437757080118
2020-12-01,74838431957
2020-12-02,518050276966
2020-12-03,210334704447
2020-12-04,762204488750
2020-12-07,-65224839928
2020-12-08,-852085650528
2020-12-09,163321824619
2020-12-10,-1366290063144
2020-12-11,-153952293189
2020-12-14,-367014113946
2020-12-15,-372440331430
2020-12-16,93239008627
2020-12-17,-258657100284
2020-12-18,-193924974864
2020-12-21,-9914569633
2020-12-22,-147105434109
2020-12-23,83279590059
2020-12-24,124378582361
2020-12-28,71020845978
2020-12-29,-317244279329
2020-12-30,249434328807
2021-01-04,84321343710
2021-01-05,-208917646204
2021-01-06,-402192188796
2021-01-07,111296134421
2021-01-08,1647867013020
2021-01-11,-725876580252
2021-01-12,-628386640509
2021-01-13,188594884747
2021-01-14,671862662474
2021-01-15,-755344722153
2021-01-18,-211292393993
2021-01-19,409774660435
2021-01-20,-238634053740
2021-01-21,366390559784
2021-01-22,-272811829081
2021-01-25,286202495086
2021-01-26,-1984815362763
2021-01-27,-629035369725
2021-01-28,-1577463372079
2021-01-29,-1431179529085
2021-02-01,132832379954
2021-02-02,194624906701
2021-02-03,428325071316
2021-02-04,-648725930035
2021-02-05,191125760283
2021-02-08,-355830216060
2021-02-09,-227472476041
2021-02-10,751313186203
2021-02-15,729567159549
2021-02-16,237130742585
2021-02-17,-486601112016
2021-02-18,-860704862960
2021-02-19,-298186146492
2021-02-22,-320692088788
2021-02-23,-299297070510
2021-02-24,631357911215
2021-02-25,974946163375
2021-02-26,-2829961623986
2021-03-02,210376675684
2021-03-03,-11401677349
2021-03-04,-931965586350
2021-03-05,-375035884718
2021-03-08,-129595276536
2021-03-09,-529150599286
2021-03-10,479934782200
2021-03-11,1708035300564
2021-03-12,406794483686
2021-03-15,-218309736167
2021-03-16,-27051211849
2021-03-17,-528855393614
2021-03-18,486323228517
2021-03-19,-586042646715
2021-03-22,-548274130518
2021-03-23,-476200913668
2021-03-24,-487058963001
2021-03-25,-79416948320
2021-03-26,295469778914
2021-03-29,48987520348
2021-03-30,343478664232
2021-03-31,-291591371339
2021-04-01,572341673310
2021-04-02,566667475713
2021-04-05,167895008772
2021-04-06,581158558489
2021-04-07,326761680839
2021-04-08,110237246738
2021-04-09,-155081071548
2021-04-12,-328054462368
2021-04-13,444114461382
2021-04-14,106327993157
2021-04-15,262838292568
2021-04-16,274849964820
2021-04-19,-322360357300
2021-04-20,325880466460
2021-04-21,-1432497426717
2021-04-22,-155135392481
2021-04-23,-24596454078
2021-04-26,390717840275
2021-04-27,-162815315566
2021-04-28,-594279561210
2021-04-29,-18199028881
2021-04-30,-565168594407
2021-05-03,-447230085731
2021-05-04,-74655469159
2021-05-06,-100899434438
2021-05-07,-190707545347
2021-05-10,235184548083
2021-05-11,-2034905226435
2021-05-12,-2704641056825
2021-05-13,-1434308608796
2021-05-14,-419809633780
2021-05-17,-602211401604
2021-05-18,-350011955199
2021-05-20,-515824658601
2021-05-21,-130375658375
2021-05-24,-220747806116
2021-05-25,71409301708
2021-05-26,-17487854129
2021-05-27,-242880845968
2021-05-28,142857297682
2021-05-31,520446004132
2021-06-01,-53072513283
2021-06-02,33590106865
2021-06-03,242041662471
2021-06-04,175443737827
2021-06-07,-187347266710
2021-06-08,-203701047226
2021-06-09,-324763476596
2021-06-10,717210391251
2021-06-11,176536714280
2021-06-14,-10128752286
2021-06-15,-121050344350
2021-06-16,287490222647
2021-06-17,-321655229264
2021-06-18,-711050008644
2021-06-21,-901895605835
2021-06-22,362940809627
2021-06-23,-9624757444
2021-06-24,-101632141063
2021-06-25,248467425445
2021-06-28,-86753852283
2021-06-29,67905293320
2021-06-30,7018476232
2021-07-01,-408829358677
2021-07-02,-121557811968
2021-07-05,1502627218
2021-07-06,223784164541
2021-07-07,-340497619729
2021-07-08,-498287807432
2021-07-09,-1342149136077
2021-07-12,37207303791
2021-07-13,265170242335
2021-07-14,-274029668234
2021-07-15,100636263856
2021-07-16,-92540524234
2021-07-19,-458190929018
2021-07-20,-172988943545
2021-07-21,-498545092711
2021-07-22,59859468295
2021-07-23,111649746566
2021-07-26,-377963894447
2021-07-27,46132578069
2021-07-28,-422234442765
2021-07-29,-229157290461
2021-07-30,-718353137727
2021-08-02,-145578198234
2021-08-03,666721793168
2021-08-04,912211912321
2021-08-05,68114156834
2021-08-06,52362805528
2021-08-09,-203158583662
2021-08-10,-637592624931
2021-08-11,-1621469249376
2021-08-12,-1884182512841
2021-08-13,-2698983656328
2021-08-17,-416474301204
2021-08-18,-262289832287
2021-08-19,-271022343806
2021-08-20,-257002456198
2021-08-23,-27896085295
2021-08-24,154569606638
2021-08-25,161946805744
2021-08-26,-364183966521
2021-08-27,-371764647559
2021-08-30,-233861142615
2021-08-31,1122966401177
2021-09-01,77536662099
2021-09-02,548159354628
2021-09-03,588157139552
2021-09-06,62039912412
2021-09-07,-311137493676
2021-09-08,-223230326495
2021-09-09,-319568958819
2021-09-10,-517843970667
2021-09-13,142400124348
2021-09-14,298439132422
2021-09-15,298111497723
2021-09-16,20681036843
2021-09-17,53895512419
2021-09-23,576941521325
2021-09-24,82639153047
2021-09-27,342728101916
2021-09-28,4030086557
2021-09-29,-662495841355
2021-09-30,37247595174
2021-10-01,-303461626983
2021-10-05,-620628462550
2021-10-06,-276928882710
2021-10-07,-104997843613
2021-10-08,-48546564724
2021-10-12,-824220360917
2021-10-13,-271076290544
2021-10-14,-384533444585
2021-10-15,86866571209
2021-10-18,35920884303
2021-10-19,148731170443
2021-10-20,-69538320207
2021-10-21,53787925576
2021-10-22,-108832709699
2021-10-25,38373541830
2021-10-26,107286670324
2021-10-27,-288523500231
2021-10-28,-248122879786
2021-10-29,-805789439074
2021-11-01,-356245223325
2021-11-02,322429269438
2021-11-03,-446963595080
2021-11-04,354163482627
2021-11-05,116545670834
2021-11-08,-116792600808
2021-11-09,-135503238715
2021-11-10,-20829351340
2021-11-11,86251525234
2021-11-12,432432182659
2021-11-15,399674833676
2021-11-16,647756674326
2021-11-17,103201400497
2021-11-18,-47192524618
2021-11-19,232313455373
2021-11-22,796949842169
2021-11-23,282388382183
2021-11-24,318589823672
2021-11-25,-92544623479
2021-11-26,-180767543511
2021-11-29,45504189683
2021-11-30,-134042212781
2021-12-01,943893334995
2021-12-02,888751384824
2021-12-03,154716143993
2021-12-06,4737894467
2021-12-07,212105851668
2021-12-08,-79830040520
2021-12-09,325989585112
2021-12-10,-280733847232
2021-12-13,-133918235772
2021-12-14,181477169031
2021-12-15,-22297916721
2021-12-16,187222572931
2021-12-17,531812406165
2021-12-20,-559589143684
2021-12-21,32862902173
2021-12-22,423257816009
2021-12-23,235095269005
2021-12-24,195000137299
2021-12-27,51606672474
2021-12-28,452754553471
2021-12-29,-127818636959
2021-12-30,-218408541187
2022-01-03,261544658850
2022-01-04,88320676077
2022-01-05,620306631463
2022-01-06,179393172726
2022-01-07,654784683881
2022-01-10,-87916196179
2022-01-11,482015439035
2022-01-12,457931826345
2022-01-13,373496060508
2022-01-14,-245690698361
2022-01-17,-252669002554
2022-01-18,13357344547
2022-01-19,34395105443
2022-01-20,-278365055282
2022-01-21,-222523979690
2022-01-24,-435676904593
2022-01-25,-441054307565
2022-01-26,-242517358356
2022-01-27,-1714190516763
2022-01-28,-706679771842
2022-02-03,83879394550
2022-02-04,194499581665
2022-02-07,-6922551900
2022-02-08,-93899152343
2022-02-09,235534907513
2022-02-10,836537884237
2022-02-11,608078206414
2022-02-14,68413753630
2022-02-15,-220897923389
2022-02-16,-43736822981
2022-02-17,651482556155
2022-02-18,-150679374990
2022-02-21,-64893738307
2022-02-22,-330430394449
2022-02-23,-266792126670
2022-02-24,-674201930866
2022-02-25,-124180102105
2022-02-28,96475605521
2022-03-02,-307375772823
2022-03-03,132683193535
2022-03-04,-589042923097
2022-03-07,-1190747396147
2022-03-08,-477359344196
2022-03-10,-427766701209
2022-03-11,-689442736381
2022-03-14,-639141224631
2022-03-15,-679033381195
2022-03-16,-131871761121
2022-03-17,463512579367
2022-03-18,-103084892427
2022-03-21,-491534894692
2022-03-22,219517391733
2022-03-23,57070890859
2022-03-24,1021864931280
2022-03-25,-554858526687
2022-03-28,-264305353301
2022-03-29,-283226870969
2022-03-30,-9345471822
2022-03-31,-173867006193
2022-04-01,-72594005014
2022-04-04,23158344197
2022-04-05,11939645240
2022-04-06,-589421142028
2022-04-07,-769583081966
2022-04-08,-458770365621
2022-04-11,-135729827164
2022-04-12,-468298119861
2022-04-13,-63259789179
2022-04-14,-254943274782
2022-04-15,-321038895631
2022-04-18,-96162606678
2022-04-19,31640085566
2022-04-20,94290153124
2022-04-21,-57715515912
2022-04-22,-156512116607
2022-04-25,-709878216476
2022-04-26,-245268167021
2022-04-27,-681077661566
2022-04-28,-37759147510
2022-04-29,14302129054
2022-05-02,-68119155591
2022-05-03,115033804975
2022-05-04,30611358580
2022-05-06,-486320025981
2022-05-09,-197744129335
2022-05-10,-317712396806
2022-05-11,-289980981821
2022-05-12,-282071993178
2022-05-13,68441056844
2022-05-16,1773840081
2022-05-17,-52423752269
2022-05-18,297282181606
2022-05-19,-90912806727
2022-05-20,196631339178
2022-05-23,-30385454407
2022-05-24,-325411915774
2022-05-25,-165483309701
2022-05-26,37674326836
2022-05-27,275985972849
2022-05-30,354086528028
2022-05-31,1057344614578
2022-06-02,-90906228346
2022-06-03,-8818167402
2022-06-07,-208898549689
2022-06-08,-124454248340
2022-06-09,-937286496836
2022-06-10,-851670598062
2022-06-13,-500936156417
2022-06-14,-281091726857
2022-06-15,-460947268291
2022-06-16,145687672170
2022-06-17,-390174301940
2022-06-20,-665852399783
2022-06-21,-320130504579
2022-06-22,-320221766684
2022-06-23,-296146879581
2022-06-24,-33735936565
2022-06-27,266273068853
2022-06-28,-35441901944
2022-06-29,-232925576404
2022-06-30,-233941442187
2022-07-01,-340027562088
2022-07-04,-138456356608
2022-07-05,132426960750
2022-07-06,-47680124827
2022-07-07,144817694875
2022-07-08,242703482816
2022-07-11,-20238969708
2022-07-12,-44517399796
2022-07-13,-100976800886
2022-07-14,398802420430
2022-07-15,262167955242
2022-07-18,627841171123
2022-07-19,39347290765
2022-07-20,-39258099922
2022-07-21,440211332512
2022-07-22,35871348835
2022-07-25,91613554092
2022-07-26,1362170984
2022-07-27,-117682878414
2022-07-28,411564998153
2022-07-29,341623785970
2022-08-01,134242433211
2022-08-02,294143188744
2022-08-03,475371715873
2022-08-04,201025134548
2022-08-05,374584369545
2022-08-08,173349901708
2022-08-09,30565302037
2022-08-10,-105026711362
2022-08-11,141726613744
2022-08-12,-13702396140
2022-08-16,50343912696
2022-08-17,51105702051
2022-08-18,304678769467
2022-08-19,332771140196
2022-08-22,117070058967
2022-08-23,-239455693
2022-08-24,150032610207
2022-08-25,41373139286
2022-08-26,239028855150
2022-08-29,-48047162523
2022-08-30,-39660342479
2022-08-31,745338569931
2022-09-01,-291139960982
2022-09-02,-175993868441
2022-09-05,-67550128641
2022-09-06,-78482414798
2022-09-07,-494008781631
2022-09-08,-385718375058
2022-09-13,400469490825
2022-09-14,-164531243008
2022-09-15,-224331898754
2022-09-16,-47269540645
2022-09-19,-547302731
2022-09-20,-59107429418
2022-09-21,-275055745059
2022-09-22,-59357990722
2022-09-23,-194387486334
2022-09-26,-3434711580
2022-09-27,-246297394872
2022-09-28,-145952064133
2022-09-29,220867465220
2022-09-30,167917517754
2022-10-04,217192351166
2022-10-05,77575173070
2022-10-06,251014502117
2022-10-07,100120634526
2022-10-11,196204951762
2022-10-12,235036968662
2022-10-13,200865158989
2022-10-14,265677209661
2022-10-17,265798735966
2022-10-18,77437094270
2022-10-19,147718368048
2022-10-20,-3722025765
2022-10-21,29289233569
2022-10-24,151158825340
2022-10-25,73910629649
2022-10-26,602037974475
2022-10-27,381653490717
2022-10-28,-190400546478
2022-10-31,232073501890
2022-11-01,493949497996
2022-11-02,525198776309
2022-11-03,171638922523
2022-11-04,41368155723
2022-11-07,110025246210
2022-11-08,282366498142
2022-11-09,417226476199
2022-11-10,-109777141036
2022-11-11,705275159237
2022-11-14,142922364626
2022-11-15,-235016868238
2022-11-16,91512129351
2022-11-17,-384299835349
2022-11-18,197645625265
2022-11-21,-165337857975
2022-11-22,15650123452
2022-11-23,89609886885
2022-11-24,126982095467
2022-11-25,312653109891
2022-11-28,-125156485789
2022-11-29,62319678791
2022-11-30,1144644497176
2022-12-01,33652032730
2022-12-02,-406017040453
2022-12-05,-293616814004
2022-12-06,-98977502602
2022-12-07,-198228597329
2022-12-08,-466523510827
2022-12-09,100280111234
2022-12-12,17771225883
2022-12-13,-112056994243
2022-12-14,233390302769
2022-12-15,-57603350762
2022-12-16,292665102195
2022-12-19,-23447749615
2022-12-20,-103781513580
2022-12-21,-104601708927
2022-12-22,-4506398238
2022-12-23,-66547818899
2022-12-26,-37116880117
2022-12-27,50235108852
2022-12-28,-310789177092
2022-12-29,-143667474477
2023-01-02,5257042085
2023-01-03,88281512217
2023-01-04,260982147454
2023-01-05,502342984329
2023-01-06,315749154598
2023-01-09,657331070270
2023-01-10,-1955421808
2023-01-11,34916836086
2023-01-12,485839519925
2023-01-13,571527979144
2023-01-16,300049168157
2023-01-17,179169806275
2023-01-18,73091904331
2023-01-19,572094289426
2023-01-20,231019489511
2023-01-25,768164444052
2023-01-26,812270694693
2023-01-27,973962363247
2023-01-30,15451352757
2023-01-31,-475136216346
2023-02-01,195926250867
2023-02-02,555702432620
2023-02-03,586758677762
2023-02-06,-313375546418
2023-02-07,-57899119596
2023-02-08,592588968439
2023-02-09,150077469726
2023-02-10,48792690878
2023-02-13,67142363935
2023-02-14,60914632775
2023-02-15,-268652657440
2023-02-16,69569379732
2023-02-17,119555409770
2023-02-20,-315404093934
2023-02-21,29870543937
2023-02-22,-195119476219
2023-02-23,10865840744
2023-02-24,-300375029409
2023-02-27,-324862519029
2023-02-28,-286814070363
2023-03-02,533327276233
2023-03-03,-90856850044
2023-03-06,327077832562
2023-03-07,340645921439
2023-03-08,57685403343
2023-03-09,-973156439120
2023-03-10,-326470175540
2023-03-13,18632896391
2023-03-14,-639754868982
2023-03-15,-74597011259
2023-03-16,-88667303615
2023-03-17,80096196090
2023-03-20,-206160430368
2023-03-21,-55738649490
2023-03-22,203985913267
2023-03-23,214461898343
2023-03-24,124284974879
2023-03-27,-94607071810
2023-03-28,-41416558808
2023-03-29,28626612543
2023-03-30,263169289168
2023-03-31,687669960707
2023-04-03,-164098297315
2023-04-04,-312696736465
2023-04-05,-17512189534
2023-04-06,-491513637019
2023-04-07,695129396419
2023-04-10,740467175649
2023-04-11,187145478632
2023-04-12,235247529238
2023-04-13,-346259926990
2023-04-14,187097208167
2023-04-17,-16806833778
2023-04-18,388773533830
2023-04-19,-6936407712
2023-04-20,154240345500
2023-04-21,277815540314
2023-04-24,-33457709260
2023-04-25,8604656152
2023-04-26,-92523705480
2023-04-27,280050131380
2023-04-28,297814133693
2023-05-02,344755441541
2023-05-03,-91428316585
2023-05-04,39620053616
2023-05-08,253039407363
2023-05-09,115245569286
2023-05-10,115506924875
2023-05-11,1829048943
2023-05-12,-247467835960
2023-05-15,-49794741705
2023-05-16,228307061872
2023-05-17,164026155252
2023-05-18,537880037713
2023-05-19,557944304348
2023-05-22,299464059431
2023-05-23,-53533549246
2023-05-24,93525128152
2023-05-25,224437924587
2023-05-26,911282987135
2023-05-30,675135916966
2023-05-31,215604239109
2023-06-01,-8205036565
2023-06-02,372752069025
2023-06-05,-19511906838
2023-06-07,-40297072056
2023-06-08,-383832936768
2023-06-09,480810929824
2023-06-12,-341957675948
2023-06-13,136776442548
2023-06-14,112802666646
2023-06-15,-64115208893
2023-06-16,427969606564
2023-06-19,-360412510734
2023-06-20,-281237544346
2023-06-21,-199981783736
2023-06-22,-106795277995
2023-06-23,-187833176037
2023-06-26,15003253159
2023-06-27,-108256746377
2023-06-28,-392267219873
2023-06-29,55313840334
2023-06-30,-178358617166
2023-07-03,-13324597690
2023-07-04,-59437290111
2023-07-05,255963611374
2023-07-06,-168390181702
2023-07-07,-45069398717
2023-07-10,-155682862763
2023-07-11,268682955492
2023-07-12,218843259688
2023-07-13,217331353578
2023-07-14,615153686814
2023-07-17,-164635714816
2023-07-18,-155124731770
2023-07-19,-40280153577
2023-07-20,162682219288
2023-07-21,-290353686137
2023-07-24,-170878002713
2023-07-25,-1353433695996
2023-07-26,-946729954145
2023-07-27,82278490784
2023-07-28,60211856009
2023-07-31,-292334454660
2023-08-01,197811810603
2023-08-02,-70146532016
2023-08-03,-150843516603
2023-08-04,-245255348861
2023-08-07,281066552709
2023-08-08,-141897482016
2023-08-09,365704070574
2023-08-10,-233144687241
2023-08-11,-190553271912
2023-08-14,-120195988639
2023-08-16,-1898044111
2023-08-17,-1229151556
2023-08-18,-108020298645
2023-08-21,-34008655799
2023-08-22,-14806143234
2023-08-23,20622541049
2023-08-24,110643114880
2023-08-25,-191547704041
2023-08-28,-13515475702
2023-08-29,-161237154885
2023-08-30,-16495437008
2023-08-31,-215735589708
2023-09-01,369057565880
2023-09-04,412832088423
2023-09-05,161803980386
2023-09-06,-69319515554
2023-09-07,-5894909225
2023-09-08,-355191007089
2023-09-11,23838762297
2023-09-12,-298118389282
2023-09-13,113314755213
2023-09-14,-517264544411
2023-09-15,47799868129
2023-09-18,-374504179360
2023-09-19,-1648570533
2023-09-20,-167630100530
2023-09-21,-68589734691
2023-09-22,-127823596333
2023-09-25,-132155489270
2023-09-26,-42589254898
2023-09-27,-28216151255
2023-10-04,-423020397616
2023-10-05,-272074189365
2023-10-06,-326292992970
2023-10-10,-207849178935
2023-10-11,-119608607595
2023-10-12,-57984808125
2023-10-13,-161143598642
2023-10-16,-210561334134
2023-10-17,428197231319
2023-10-18,346054496522
2023-10-19,-138060396256
2023-10-20,210262201578
2023-10-23,-258377348505
2023-10-24,-154286881163
2023-10-25,-345705352463
2023-10-26,-479956349898
2023-10-27,-380132598990
2023-10-30,-66328418195
2023-10-31,-327330060695
2023-11-01,-127321127007
2023-11-02,140098215614
2023-11-03,133973051936
2023-11-06,711542082199
2023-11-07,411153564934
2023-11-08,-13714797057
2023-11-09,283213236683
2023-11-10,50419710381
2023-11-13,13789995380
2023-11-14,-91051423175
2023-11-15,554363163844
2023-11-16,457124771783
2023-11-17,-75238474139
2023-11-20,99964854525
2023-11-21,352944596175
2023-11-22,142986688363
2023-11-23,118534036045
2023-11-24,-214753070468
2023-11-27,-106312974140
2023-11-28,-94681286706
2023-11-29,79866148864
2023-11-30,125286003802
2023-12-01,-176685634680
2023-12-04,257073620970
2023-12-05,29410123845
2023-12-06,-145740273723
2023-12-07,36060258561
2023-12-08,203839352110
2023-12-11,5342310158
2023-12-12,74912663432
2023-12-13,-130864026577
2023-12-14,625199591344
2023-12-15,856547128458
2023-12-18,59377574402
2023-12-19,-92128963587
2023-12-20,480437624933
2023-12-21,13090104788
2023-12-22,-37303203376
2023-12-26,82263319958
2023-12-27,224943524117
2023-12-28,701651627032
2024-01-02,228169008331
2024-01-03,-97306133000
2024-01-04,114904769078
2024-01-05,-51007262023
2024-01-08,170001896263
2024-01-09,65561520138
2024-01-10,-23772970820
2024-01-11,2296215818155
2024-01-12,-211917387709
2024-01-15,-49758040039
2024-01-16,-183870174147
2024-01-17,-905570812638
2024-01-18,-132614594405
2024-01-19,702835503195
2024-01-22,300054481529
2024-01-23,141101944737
2024-01-24,72596902146
2024-01-25,45736559913
2024-01-26,378937746349
2024-01-29,546796241753
2024-01-30,-13424075615
2024-01-31,89167046947
2024-02-01,1045216260522
2024-02-02,1934414924457
2024-02-05,179461153528
2024-02-06,337846675502
2024-02-07,538978673981
2024-02-08,411334368377
2024-02-13,960754764596
2024-02-14,107712265234
2024-02-15,-9300908897
2024-02-16,564332004874
2024-02-19,615818658989
2024-02-20,108100424187
2024-02-21,-64775807045
2024-02-22,169401662585
2024-02-23,146513959251
2024-02-26,119241482008
2024-02-27,35893174343
2024-02-28,477877464276
2024-02-29,179490233297
2024-03-04,770225637938
2024-03-05,85533627777
2024-03-06,-377379623759
2024-03-07,-324588467680
2024-03-08,182117355683
2024-03-11,-106181568240
2024-03-12,-372260034957
2024-03-13,334780333474
2024-03-14,472611203728
2024-03-15,-1035477088374
2024-03-18,-86899513299
2024-03-19,-241440907481
2024-03-20,853830013360
2024-03-21,1878339613411
2024-03-22,666788249828
2024-03-25,-43286028618
2024-03-26,623038803749
2024-03-27,292897572586
2024-03-28,73487346552
2024-03-29,782349262630
2024-04-01,270726587745
2024-04-02,1006459481239
2024-04-03,531578062
2024-04-04,586429000048
2024-04-05,-113075128415
2024-04-08,206097245883
2024-04-09,303574082588
2024-04-11,1065090769092
2024-04-12,14607221018
2024-04-15,-238067563594
2024-04-16,-270261774041
2024-04-17,-169244660806
2024-04-18,574595483298
2024-04-19,-348922412029
2024-04-22,-750441480764
2024-04-23,-25292878480
2024-04-24,492409326963
2024-04-25,-289241084594
2024-04-26,473101745658
2024-04-29,345192338843
2024-04-30,238400241471
2024-05-02,2674010328
2024-05-03,94476971612
2024-05-07,1115541775806
2024-05-08,400078362230
2024-05-09,-358695409642
2024-05-10,148283671541
2024-05-13,20102584195
2024-05-14,84516691286
2024-05-16,425686479323
2024-05-17,-241485968936
2024-05-20,-16080521471
2024-05-21,-106647594020
2024-05-22,294146319727
2024-05-23,361785770316
2024-05-24,-313508413753
2024-05-27,-136693600243
2024-05-28,44235878679
2024-05-29,-1027365764660
2024-05-30,-784858278876
2024-05-31,-1336890482643
2024-06-03,189037408029
2024-06-04,-211346468561
2024-06-05,591569475086
2024-06-07,286091533818
2024-06-10,16955223849
2024-06-11,-223954814991
2024-06-12,234248937013
2024-06-13,1544900451947
2024-06-14,731514243231
2024-06-17,-137445870011
2024-06-18,649277308961
2024-06-19,275707341054
2024-06-20,496594265759
2024-06-21,-342445470613
2024-06-24,-529881015279
2024-06-25,60954213464
2024-06-26,433534373080
2024-06-27,513619005559
2024-06-28,32153817876
2024-07-01,-63341087773
2024-07-02,-33276899038
2024-07-03,101432171198
2024-07-04,321797560335
2024-07-05,1313046071755
2024-07-08,528365149893
